"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000159023",764.743205797056,1.02077448389242,0.204712852656144,4.98637223138603,6.15235598942744e-07,1.70239309260392e-05,"EPB41"
"ENSG00000117152",233.372584610228,1.07479102811424,0.355234927211332,3.02557813374819,0.00248158278158093,0.0201264920768219,"RGS4"
"ENSG00000163485",99.3410371222845,1.70122330833816,0.427583185929339,3.97869552480321,6.9294412488604e-05,0.0010557438586118,"ADORA1"
"ENSG00000177606",6855.56541621331,1.06766783291626,0.33614238228483,3.17623688408198,0.00149199065299256,0.01346441061233,"JUN"
"ENSG00000169218",1353.76368737426,-1.3600465744958,0.261070842259424,-5.20949242253692,1.89357940787195e-07,5.96810555084065e-06,"RSPO1"
"ENSG00000163431",11847.109188743,-1.16024696808493,0.257635789249033,-4.5034386389673,6.68626794375225e-06,0.000139169046050489,"LMOD1"
"ENSG00000133069",315.940004293945,1.0530888239027,0.173258048174602,6.07815241483875,1.21575172281966e-09,6.53588126187852e-08,"TMCC2"
"ENSG00000162772",829.187365688619,-2.00470278313411,0.33490679371772,-5.98585284245918,2.15258925860253e-09,1.10982441167565e-07,"ATF3"
"ENSG00000123685",89.1950021411974,-1.89152180487848,0.425885189231871,-4.44138902385885,8.93800394680348e-06,0.00018142123221473,"BATF3"
"ENSG00000143786",163.428820063025,1.57243100758046,0.188068548801244,8.3609461422614,6.22172468380041e-17,1.09409319299428e-14,"CNIH3"
"ENSG00000160097",31.5010515806125,1.78414871733917,0.33948307409574,5.25548651310965,1.47633672702834e-07,4.77418301200454e-06,"FNDC5"
"ENSG00000197312",1016.72914412063,-1.07533945743024,0.199533440333321,-5.38926936574585,7.07447036967983e-08,2.45596373571763e-06,"DDI2"
"ENSG00000084710",42.4635862086768,2.7489018833096,0.448940705208867,6.12308452188733,9.17809754538096e-10,4.99118738190428e-08,"EFR3B"
"ENSG00000143869",616.888062410492,-1.8441620838591,0.402147897051463,-4.58578074728338,4.52293052716038e-06,9.82718946871243e-05,"GDF7"
"ENSG00000158125",50.8009981348139,-1.39897457508272,0.371421628738378,-3.76654041347745,0.000165525300365829,0.00217951298228373,"XDH"
"ENSG00000171132",876.70081417423,1.17889768429499,0.206103960852045,5.71991765428166,1.06575691625009e-08,4.65273367428345e-07,"PRKCE"
